theta_deg,AF_linear,AF_dB
0.000,0.012317,-38.1897
0.250,0.012325,-38.1843
0.500,0.012348,-38.1681
0.750,0.012386,-38.1411
1.000,0.012440,-38.1034
1.250,0.012509,-38.0553
1.500,0.012594,-37.9968
1.750,0.012694,-37.9282
2.000,0.012809,-37.8498
2.250,0.012939,-37.7618
2.500,0.013085,-37.6645
2.750,0.013246,-37.5583
3.000,0.013422,-37.4435
3.250,0.013614,-37.3204
3.500,0.013820,-37.1896
3.750,0.014042,-37.0513
4.000,0.014279,-36.9060
4.250,0.014531,-36.7541
4.500,0.014798,-36.5960
4.750,0.015080,-36.4321
5.000,0.015376,-36.2629
5.250,0.015688,-36.0886
5.500,0.016014,-35.9098
5.750,0.016356,-35.7267
6.000,0.016711,-35.5399
6.250,0.017081,-35.3495
6.500,0.017466,-35.1561
6.750,0.017865,-34.9600
7.000,0.018278,-34.7614
7.250,0.018705,-34.5607
7.500,0.019146,-34.3582
7.750,0.019601,-34.1542
8.000,0.020070,-33.9490
8.250,0.020552,-33.7428
8.500,0.021048,-33.5359
8.750,0.021556,-33.3284
9.000,0.022078,-33.1208
9.250,0.022612,-32.9130
9.500,0.023159,-32.7055
9.750,0.023718,-32.4983
10.000,0.024290,-32.2916
10.250,0.024873,-32.0856
10.500,0.025467,-31.8804
10.750,0.026073,-31.6763
11.000,0.026689,-31.4733
11.250,0.027316,-31.2717
11.500,0.027953,-31.0714
11.750,0.028600,-30.8727
12.000,0.029256,-30.6757
12.250,0.029921,-30.4804
12.500,0.030595,-30.2870
12.750,0.031277,-30.0956
13.000,0.031966,-29.9063
13.250,0.032662,-29.7192
13.500,0.033364,-29.5343
13.750,0.034073,-29.3518
14.000,0.034787,-29.1718
14.250,0.035505,-28.9942
14.500,0.036227,-28.8193
14.750,0.036953,-28.6470
15.000,0.037681,-28.4775
15.250,0.038411,-28.3109
15.500,0.039142,-28.1472
15.750,0.039873,-27.9864
16.000,0.040603,-27.8288
16.250,0.041332,-27.6743
16.500,0.042058,-27.5230
16.750,0.042781,-27.3750
17.000,0.043499,-27.2304
17.250,0.044212,-27.0893
17.500,0.044917,-26.9517
17.750,0.045615,-26.8178
18.000,0.046304,-26.6876
18.250,0.046983,-26.5612
18.500,0.047650,-26.4387
18.750,0.048305,-26.3202
19.000,0.048945,-26.2059
19.250,0.049569,-26.0957
19.500,0.050177,-25.9899
19.750,0.050766,-25.8886
20.000,0.051334,-25.7919
20.250,0.051881,-25.6998
20.500,0.052405,-25.6126
20.750,0.052903,-25.5304
21.000,0.053375,-25.4533
21.250,0.053817,-25.3815
21.500,0.054230,-25.3153
21.750,0.054609,-25.2546
22.000,0.054955,-25.1999
22.250,0.055264,-25.1512
22.500,0.055534,-25.1088
22.750,0.055764,-25.0730
23.000,0.055950,-25.0440
23.250,0.056092,-25.0220
23.500,0.056186,-25.0074
23.750,0.056231,-25.0005
24.000,0.056223,-25.0017
24.250,0.056161,-25.0113
24.500,0.056042,-25.0298
24.750,0.055863,-25.0575
25.000,0.055622,-25.0951
25.250,0.055316,-25.1430
25.500,0.054942,-25.2019
25.750,0.054498,-25.2723
26.000,0.053982,-25.3551
26.250,0.053389,-25.4510
26.500,0.052717,-25.5610
26.750,0.051963,-25.6860
27.000,0.051125,-25.8273
27.250,0.050199,-25.9860
27.500,0.049183,-26.1638
27.750,0.048072,-26.3621
28.000,0.046865,-26.5831
28.250,0.045557,-26.8288
28.500,0.044147,-27.1021
28.750,0.042629,-27.4058
29.000,0.041003,-27.7437
29.250,0.039263,-28.1203
29.500,0.037407,-28.5409
29.750,0.035432,-29.0120
30.000,0.033335,-29.5421
30.250,0.031111,-30.1417
30.500,0.028758,-30.8248
30.750,0.026273,-31.6098
31.000,0.023652,-32.5226
31.250,0.020892,-33.6003
31.500,0.017990,-34.8993
31.750,0.014943,-36.5114
32.000,0.011747,-38.6018
32.250,0.008399,-41.5158
32.500,0.004896,-46.2033
32.750,0.001235,-58.1657
33.000,0.002587,-51.7451
33.250,0.006573,-43.6453
33.500,0.010725,-39.3918
33.750,0.015048,-36.4504
34.000,0.019543,-34.1800
34.250,0.024214,-32.3187
34.500,0.029063,-30.7333
34.750,0.034092,-29.3469
35.000,0.039304,-28.1112
35.250,0.044702,-26.9934
35.500,0.050288,-25.9707
35.750,0.056063,-25.0264
36.000,0.062030,-24.1479
36.250,0.068191,-23.3254
36.500,0.074548,-22.5513
36.750,0.081102,-21.8194
37.000,0.087854,-21.1248
37.250,0.094806,-20.4633
37.500,0.101959,-19.8315
37.750,0.109315,-19.2264
38.000,0.116873,-18.6457
38.250,0.124635,-18.0872
38.500,0.132600,-17.5491
38.750,0.140770,-17.0298
39.000,0.149144,-16.5279
39.250,0.157721,-16.0422
39.500,0.166503,-15.5716
39.750,0.175487,-15.1151
40.000,0.184673,-14.6719
40.250,0.194060,-14.2413
40.500,0.203646,-13.8225
40.750,0.213430,-13.4149
41.000,0.223411,-13.0179
41.250,0.233585,-12.6311
41.500,0.243950,-12.2540
41.750,0.254504,-11.8861
42.000,0.265244,-11.5271
42.250,0.276166,-11.1766
42.500,0.287267,-10.8343
42.750,0.298542,-10.4999
43.000,0.309989,-10.1731
43.250,0.321602,-9.8536
43.500,0.333376,-9.5413
43.750,0.345307,-9.2359
44.000,0.357389,-8.9372
44.250,0.369616,-8.6450
44.500,0.381983,-8.3591
44.750,0.394482,-8.0794
45.000,0.407108,-7.8058
45.250,0.419853,-7.5381
45.500,0.432710,-7.2761
45.750,0.445672,-7.0197
46.000,0.458729,-6.7689
46.250,0.471875,-6.5235
46.500,0.485101,-6.2834
46.750,0.498398,-6.0485
47.000,0.511756,-5.8187
47.250,0.525166,-5.5941
47.500,0.538619,-5.3744
47.750,0.552104,-5.1596
48.000,0.565611,-4.9496
48.250,0.579129,-4.7445
48.500,0.592649,-4.5441
48.750,0.606158,-4.3483
49.000,0.619644,-4.1571
49.250,0.633098,-3.9706
49.500,0.646506,-3.7885
49.750,0.659857,-3.6110
50.000,0.673139,-3.4379
50.250,0.686339,-3.2692
50.500,0.699444,-3.1049
50.750,0.712442,-2.9450
51.000,0.725320,-2.7894
51.250,0.738064,-2.6381
51.500,0.750663,-2.4911
51.750,0.763101,-2.3484
52.000,0.775367,-2.2099
52.250,0.787447,-2.0756
52.500,0.799326,-1.9455
52.750,0.810993,-1.8197
53.000,0.822432,-1.6980
53.250,0.833632,-1.5805
53.500,0.844578,-1.4672
53.750,0.855257,-1.3581
54.000,0.865655,-1.2531
54.250,0.875760,-1.1523
54.500,0.885558,-1.0557
54.750,0.895037,-0.9632
55.000,0.904184,-0.8749
55.250,0.912985,-0.7907
55.500,0.921429,-0.7108
55.750,0.929503,-0.6350
56.000,0.937196,-0.5634
56.250,0.944496,-0.4960
56.500,0.951391,-0.4328
56.750,0.957871,-0.3739
57.000,0.963924,-0.3191
57.250,0.969541,-0.2687
57.500,0.974711,-0.2225
57.750,0.979426,-0.1806
58.000,0.983675,-0.1430
58.250,0.987451,-0.1097
58.500,0.990745,-0.0808
58.750,0.993550,-0.0562
59.000,0.995858,-0.0361
59.250,0.997662,-0.0203
59.500,0.998958,-0.0091
59.750,0.999739,-0.0023
60.000,1.000000,0.0000
60.250,0.999737,-0.0023
60.500,0.998947,-0.0091
60.750,0.997627,-0.0206
61.000,0.995773,-0.0368
61.250,0.993386,-0.0576
61.500,0.990462,-0.0832
61.750,0.987003,-0.1136
62.000,0.983008,-0.1489
62.250,0.978479,-0.1890
62.500,0.973417,-0.2340
62.750,0.967825,-0.2841
63.000,0.961706,-0.3392
63.250,0.955065,-0.3993
63.500,0.947905,-0.4647
63.750,0.940232,-0.5353
64.000,0.932053,-0.6112
64.250,0.923374,-0.6924
64.500,0.914203,-0.7791
64.750,0.904548,-0.8714
65.000,0.894418,-0.9692
65.250,0.883823,-1.0727
65.500,0.872774,-1.1820
65.750,0.861281,-1.2971
66.000,0.849356,-1.4182
66.250,0.837012,-1.5454
66.500,0.824261,-1.6787
66.750,0.811119,-1.8183
67.000,0.797597,-1.9643
67.250,0.783713,-2.1169
67.500,0.769480,-2.2760
67.750,0.754916,-2.4420
68.000,0.740036,-2.6149
68.250,0.724858,-2.7949
68.500,0.709399,-2.9822
68.750,0.693677,-3.1769
69.000,0.677709,-3.3791
69.250,0.661516,-3.5892
69.500,0.645116,-3.8072
69.750,0.628528,-4.0335
70.000,0.611772,-4.2682
70.250,0.594868,-4.5116
70.500,0.577836,-4.7639
70.750,0.560695,-5.0255
71.000,0.543468,-5.2965
71.250,0.526173,-5.5774
71.500,0.508832,-5.8685
71.750,0.491465,-6.1701
72.000,0.474094,-6.4827
72.250,0.456737,-6.8067
72.500,0.439417,-7.1425
72.750,0.422152,-7.4906
73.000,0.404965,-7.8517
73.250,0.387873,-8.2262
73.500,0.370898,-8.6149
73.750,0.354059,-9.0185
74.000,0.337375,-9.4377
74.250,0.320865,-9.8736
74.500,0.304546,-10.3269
74.750,0.288438,-10.7989
75.000,0.272559,-11.2908
75.250,0.256924,-11.8039
75.500,0.241550,-12.3398
75.750,0.226455,-12.9004
