theta_deg,AF_linear,AF_dB
0.000,0.000000,-240.0000
0.250,0.000007,-103.5194
0.500,0.000027,-91.4783
0.750,0.000060,-84.4347
1.000,0.000107,-79.4372
1.250,0.000167,-75.5610
1.500,0.000240,-72.3939
1.750,0.000327,-69.7162
2.000,0.000427,-67.3968
2.250,0.000540,-65.3510
2.500,0.000667,-63.5210
2.750,0.000807,-61.8657
3.000,0.000960,-60.3546
3.250,0.001127,-58.9646
3.500,0.001307,-57.6778
3.750,0.001500,-56.4799
4.000,0.001706,-55.3595
4.250,0.001926,-54.3071
4.500,0.002159,-53.3151
4.750,0.002405,-52.3769
5.000,0.002665,-51.4870
5.250,0.002937,-50.6407
5.500,0.003223,-49.8339
5.750,0.003522,-49.0633
6.000,0.003835,-48.3256
6.250,0.004160,-47.6183
6.500,0.004498,-46.9390
6.750,0.004850,-46.2857
7.000,0.005214,-45.6563
7.250,0.005592,-45.0494
7.500,0.005982,-44.4634
7.750,0.006385,-43.8969
8.000,0.006801,-43.3487
8.250,0.007229,-42.8178
8.500,0.007671,-42.3032
8.750,0.008125,-41.8039
9.000,0.008591,-41.3191
9.250,0.009070,-40.8481
9.500,0.009561,-40.3901
9.750,0.010064,-39.9445
10.000,0.010579,-39.5108
10.250,0.011107,-39.0883
10.500,0.011646,-38.6766
10.750,0.012197,-38.2752
11.000,0.012759,-37.8836
11.250,0.013333,-37.5016
11.500,0.013918,-37.1286
11.750,0.014514,-36.7644
12.000,0.015121,-36.4086
12.250,0.015738,-36.0609
12.500,0.016366,-35.7211
12.750,0.017004,-35.3889
13.000,0.017652,-35.0640
13.250,0.018310,-34.7462
13.500,0.018977,-34.4353
13.750,0.019654,-34.1311
14.000,0.020339,-33.8334
14.250,0.021033,-33.5421
14.500,0.021735,-33.2568
14.750,0.022445,-32.9777
15.000,0.023162,-32.7043
15.250,0.023887,-32.4367
15.500,0.024619,-32.1747
15.750,0.025356,-31.9182
16.000,0.026100,-31.6671
16.250,0.026850,-31.4212
16.500,0.027604,-31.1805
16.750,0.028363,-30.9449
17.000,0.029126,-30.7143
17.250,0.029893,-30.4887
17.500,0.030663,-30.2678
17.750,0.031435,-30.0518
18.000,0.032209,-29.8405
18.250,0.032984,-29.6338
18.500,0.033761,-29.4318
18.750,0.034537,-29.2343
19.000,0.035313,-29.0414
19.250,0.036087,-28.8529
19.500,0.036860,-28.6689
19.750,0.037630,-28.4893
20.000,0.038397,-28.3141
20.250,0.039159,-28.1433
20.500,0.039917,-27.9768
20.750,0.040669,-27.8147
21.000,0.041415,-27.6569
21.250,0.042153,-27.5034
21.500,0.042883,-27.3542
21.750,0.043605,-27.2093
22.000,0.044316,-27.0688
22.250,0.045017,-26.9325
22.500,0.045706,-26.8006
22.750,0.046382,-26.6730
23.000,0.047045,-26.5497
23.250,0.047693,-26.4309
23.500,0.048326,-26.3164
23.750,0.048943,-26.2063
24.000,0.049541,-26.1006
24.250,0.050122,-25.9995
24.500,0.050683,-25.9028
24.750,0.051223,-25.8107
25.000,0.051742,-25.7232
25.250,0.052238,-25.6403
25.500,0.052710,-25.5622
25.750,0.053157,-25.4887
26.000,0.053579,-25.4201
26.250,0.053974,-25.3563
26.500,0.054340,-25.2975
26.750,0.054678,-25.2437
27.000,0.054986,-25.1950
27.250,0.055262,-25.1515
27.500,0.055506,-25.1132
27.750,0.055716,-25.0803
28.000,0.055893,-25.0529
28.250,0.056033,-25.0311
28.500,0.056138,-25.0149
28.750,0.056205,-25.0046
29.000,0.056233,-25.0002
29.250,0.056222,-25.0018
29.500,0.056171,-25.0098
29.750,0.056078,-25.0241
30.000,0.055943,-25.0450
30.250,0.055765,-25.0727
30.500,0.055544,-25.1073
30.750,0.055277,-25.1491
31.000,0.054965,-25.1983
31.250,0.054607,-25.2551
31.500,0.054201,-25.3198
31.750,0.053749,-25.3927
32.000,0.053248,-25.4740
32.250,0.052698,-25.5641
32.500,0.052099,-25.6634
32.750,0.051450,-25.7722
33.000,0.050752,-25.8910
33.250,0.050002,-26.0202
33.500,0.049203,-26.1602
33.750,0.048352,-26.3117
34.000,0.047450,-26.4753
34.250,0.046497,-26.6515
34.500,0.045493,-26.8411
34.750,0.044438,-27.0449
35.000,0.043332,-27.2637
35.250,0.042176,-27.4987
35.500,0.040969,-27.7508
35.750,0.039713,-28.0214
36.000,0.038407,-28.3118
36.250,0.037052,-28.6238
36.500,0.035649,-28.9591
36.750,0.034199,-29.3198
37.000,0.032702,-29.7085
37.250,0.031160,-30.1282
37.500,0.029573,-30.5822
37.750,0.027943,-31.0747
38.000,0.026270,-31.6107
38.250,0.024557,-32.1964
38.500,0.022805,-32.8394
38.750,0.021015,-33.5493
39.000,0.019189,-34.3388
39.250,0.017329,-35.2244
39.500,0.015437,-36.2289
39.750,0.013514,-37.3843
40.000,0.011563,-38.7387
40.250,0.009586,-40.3675
40.500,0.007585,-42.4011
40.750,0.005562,-45.0946
41.000,0.003521,-49.0659
41.250,0.001464,-56.6901
41.500,0.000607,-64.3336
41.750,0.002689,-51.4082
42.000,0.004779,-46.4138
42.250,0.006873,-43.2567
42.500,0.008970,-40.9444
42.750,0.011065,-39.1210
43.000,0.013156,-37.6178
43.250,0.015238,-36.3412
43.500,0.017310,-35.2340
43.750,0.019367,-34.2588
44.000,0.021406,-33.3894
44.250,0.023423,-32.6072
44.500,0.025415,-31.8984
44.750,0.027377,-31.2522
45.000,0.029307,-30.6605
45.250,0.031201,-30.1167
45.500,0.033054,-29.6155
45.750,0.034864,-29.1526
46.000,0.036625,-28.7244
46.250,0.038335,-28.3281
46.500,0.039990,-27.9611
46.750,0.041585,-27.6213
47.000,0.043117,-27.3069
47.250,0.044583,-27.0166
47.500,0.045979,-26.7489
47.750,0.047300,-26.5027
48.000,0.048544,-26.2773
48.250,0.049707,-26.0717
48.500,0.050785,-25.8853
48.750,0.051775,-25.7176
49.000,0.052674,-25.5681
49.250,0.053479,-25.4364
49.500,0.054186,-25.3222
49.750,0.054793,-25.2255
50.000,0.055297,-25.1459
50.250,0.055696,-25.0836
50.500,0.055986,-25.0384
50.750,0.056166,-25.0105
51.000,0.056234,-25.0001
51.250,0.056187,-25.0073
51.500,0.056024,-25.0325
51.750,0.055744,-25.0761
52.000,0.055345,-25.1385
52.250,0.054826,-25.2203
52.500,0.054187,-25.3221
52.750,0.053427,-25.4449
53.000,0.052545,-25.5894
53.250,0.051543,-25.7567
53.500,0.050419,-25.9481
53.750,0.049175,-26.1650
54.000,0.047813,-26.4092
54.250,0.046332,-26.6824
54.500,0.044734,-26.9872
54.750,0.043023,-27.3261
55.000,0.041198,-27.7024
55.250,0.039264,-28.1200
55.500,0.037224,-28.5836
55.750,0.035079,-29.0990
56.000,0.032835,-29.6732
56.250,0.030495,-30.3155
56.500,0.028063,-31.0373
56.750,0.025544,-31.8542
57.000,0.022943,-32.7869
57.250,0.020266,-33.8646
57.500,0.017518,-35.1301
57.750,0.014706,-36.6501
58.000,0.011836,-38.5361
58.250,0.008914,-40.9984
58.500,0.005949,-44.5114
58.750,0.002947,-50.6120
59.000,0.000083,-81.6233
59.250,0.003133,-50.0803
59.500,0.006195,-44.1592
59.750,0.009259,-40.6683
60.000,0.012317,-38.1897
60.250,0.015359,-36.2727
60.500,0.018375,-34.7155
60.750,0.021355,-33.4101
61.000,0.024288,-32.2921
61.250,0.027165,-31.3199
61.500,0.029974,-30.4652
61.750,0.032704,-29.7081
62.000,0.035343,-29.0338
62.250,0.037882,-28.4314
62.500,0.040307,-27.8924
62.750,0.042607,-27.4104
63.000,0.044771,-26.9801
63.250,0.046786,-26.5978
63.500,0.048640,-26.2602
63.750,0.050321,-25.9650
64.000,0.051817,-25.7105
64.250,0.053116,-25.4954
64.500,0.054206,-25.3190
64.750,0.055075,-25.1809
65.000,0.055711,-25.0812
65.250,0.056101,-25.0206
65.500,0.056234,-25.0000
65.750,0.056099,-25.0209
66.000,0.055684,-25.0855
66.250,0.054977,-25.1964
66.500,0.053968,-25.3572
66.750,0.052647,-25.5726
67.000,0.051002,-25.8483
67.250,0.049024,-26.1919
67.500,0.046702,-26.6133
